Country_of_Birth,Speaks English only,Very well,Well,Not well,Not at all,Not stated
India,10716,70374,22736,2879,556,659
China,1177,22527,30770,18509,7561,301
England,34387,1632,103,19,6,59
Sri Lanka,2936,15616,7551,1096,123,163
Philippines,3966,14657,6080,407,32,184
Malaysia,5144,10457,4420,704,157,55
Vietnam,443,3607,6556,6940,1953,183
Australia (c),7216,5661,2000,1159,474,290
Afghanistan,228,4176,4957,3594,1225,183
Iraq,192,3556,4032,3459,1507,103
Pakistan,612,7382,3562,930,258,89
South Africa,8535,3839,265,21,0,39
Iran,296,4233,3629,1402,216,57
Myanmar,89,1201,2733,3836,1497,56
Indonesia,996,4771,2785,375,51,40
Thailand,1028,2300,3666,1398,185,67
Singapore,2837,4430,693,66,12,35
"Korea, Republic of (South)",557,2514,3058,1455,94,50
Not stated,1347,2027,1278,775,233,1351
United States of America,5790,901,105,28,6,19
Ireland,4897,434,46,25,3,4
Sudan,301,2638,1581,706,72,101
Hong Kong (SAR of China),362,2124,2237,508,62,24
Bangladesh,256,3044,1583,228,28,38
Nepal,139,2533,1716,141,43,30
Cambodia,149,642,1470,1700,484,32
Scotland,4335,103,6,0,0,7
Ethiopia,290,1611,1757,583,109,91
Egypt,316,2421,982,361,81,29
Mauritius,525,2779,786,45,13,26
Lebanon,161,1320,1615,847,152,48
Fiji,583,2553,598,87,16,60
Japan,445,1692,1416,265,17,13
Germany,999,2469,213,39,4,24
Turkey,181,855,1060,972,178,43
Zimbabwe,1212,1721,141,4,3,31
Canada,2564,476,32,7,5,7
South Sudan,112,1289,1001,370,46,53
Taiwan,125,1024,1111,375,54,15
Russian Federation,264,1346,679,260,92,9
New Zealand,1817,653,43,14,4,17
Kenya,473,1577,217,64,16,24
Syria,45,485,740,701,391,13
France,431,1565,205,21,3,12
Italy,262,1222,562,143,27,10
Colombia,189,1333,531,70,12,5
Bosnia and Herzegovina,99,840,504,455,132,27
Somalia,64,686,686,336,33,31
United Arab Emirates,738,867,147,40,17,12
The Former Yugoslav Republic of Macedonia,66,657,655,360,59,16
Israel,203,1275,243,40,4,9
Brazil,200,1101,245,32,5,11
Netherlands,453,1019,103,6,0,4
Poland,253,784,325,138,36,6
Romania,177,734,335,99,33,11
Ukraine,100,582,374,181,59,3
Inadequately described,189,548,277,173,62,14
Nigeria,359,773,62,3,0,9
Serbia,50,643,299,149,33,14
Croatia,51,460,334,247,85,5
Greece,44,509,352,215,33,6
Eritrea,39,362,429,253,49,23
Wales,980,123,8,0,0,0
Albania,67,336,365,214,79,15
Saudi Arabia,104,661,140,45,6,5
Northern Ireland,952,19,0,0,0,0
Kuwait,148,453,171,75,20,0
Mexico,68,593,128,14,0,0
Argentina,65,509,153,30,11,0
