Sector,State,Nationality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Higher Education,NSW,Other,943,930,774,756,841,824,765,614,555,425,388,287,158,108,101,109,95,47,28
Higher Education,NSW,Argentina,309,392,327,311,252,344,275,305,264,319,356,378,408,444,647,740,730,768,355
Higher Education,NSW,Austria,396,557,598,470,428,480,474,563,583,584,481,402,396,333,315,408,340,365,176
Higher Education,NSW,Bahrain,30,31,63,161,248,214,197,179,226,238,152,107,134,106,123,139,113,113,53
Higher Education,NSW,Bangladesh,13098,16965,21727,25634,24585,20596,15310,13510,15489,18819,21162,20986,22010,25293,27615,31645,36295,38622,17368
Higher Education,NSW,Belgium,1164,1339,1501,2021,2453,2837,3052,3081,2489,2141,1836,1387,1011,816,579,470,464,465,207
Higher Education,NSW,Bhutan,211,335,298,476,463,510,422,566,865,794,819,702,636,603,663,783,946,985,502
Higher Education,NSW,Brazil,1543,1837,1969,1931,2106,2327,2508,2782,3041,3379,3417,3573,3789,4276,5320,7932,9267,9706,4302
Higher Education,NSW,Brunei Darussalam,120,142,233,410,569,699,748,749,885,914,946,1010,969,1183,1491,1533,1277,574,363
Higher Education,NSW,Bulgaria,179,161,118,68,75,57,54,38,47,36,39,42,60,139,164,135,178,117,53
Higher Education,NSW,Cambodia,383,481,456,539,592,654,970,1334,1444,1456,1333,1464,1975,2184,2720,3514,4222,5196,2614
Higher Education,NSW,Canada,5941,7562,8511,10174,10039,9665,10073,10419,10036,9614,8503,8177,7927,7469,8305,9015,10228,11671,5846
Higher Education,NSW,Chile,151,226,412,599,726,775,789,1353,1863,1927,1521,1505,1404,1304,1325,1509,1704,1742,953
Higher Education,NSW,China,88981,123814,162464,220865,253436,267157,283910,332016,383015,393892,367465,347138,355518,377232,444297,531218,618770,668920,295291
Higher Education,NSW,Colombia,2779,3390,3196,2774,2668,2541,2807,2725,2972,2887,2964,3187,3439,3595,3769,4560,4863,4554,2198
Higher Education,NSW,Croatia,47,22,59,55,94,66,24,28,58,87,72,64,75,124,167,115,126,137,48
Higher Education,NSW,Czech Republic,560,779,917,887,785,827,734,702,722,597,439,548,824,835,840,796,761,611,232
Higher Education,NSW,Denmark,220,260,292,383,519,597,576,543,536,393,263,214,275,264,229,258,383,406,206
Higher Education,NSW,Ecuador,73,54,78,66,77,111,115,123,164,159,218,365,679,597,503,523,587,550,181
Higher Education,NSW,Egypt,160,273,344,362,397,432,521,733,850,720,604,567,652,685,905,1127,1221,1113,482
Higher Education,NSW,Ethiopia,46,76,80,78,116,94,59,77,58,80,120,134,130,111,201,439,631,830,434
Higher Education,NSW,Fiji,2013,2111,2130,1975,1859,1751,1420,1555,1557,1510,1495,1387,1315,1147,1111,1169,1354,1368,657
Higher Education,NSW,Finland,224,342,345,332,365,333,352,430,594,444,313,233,245,303,279,279,286,414,232
Higher Education,NSW,France,1699,2246,2319,2782,3283,3943,3985,4558,5690,5362,4771,4670,4554,4514,4505,4575,4225,4105,1804
Higher Education,NSW,Gaza Strip and West Bank,73,114,128,107,83,117,99,111,155,126,157,155,120,140,120,117,143,87,52
Higher Education,NSW,Germany,3059,4015,5461,7041,7134,6878,6309,6535,7190,6201,5119,4234,4146,3755,4104,4189,3852,3820,1659
Higher Education,NSW,Ghana,155,145,154,155,163,170,151,183,142,227,302,316,445,622,956,1516,1875,1908,822
Higher Education,NSW,Greece,91,143,136,133,150,127,190,213,168,165,192,234,310,314,371,334,314,298,105
Higher Education,NSW,Hong Kong,36132,42273,45666,45668,39165,32248,26115,23840,23962,23458,23906,25390,27070,27237,28342,29287,30238,30637,14869
Higher Education,NSW,Hungary,223,349,411,380,307,300,249,267,263,284,390,813,1179,1058,1023,857,716,488,163
Higher Education,NSW,Iceland,56,54,94,81,115,80,146,116,127,78,86,62,78,94,95,83,59,43,17
Higher Education,NSW,India,29670,36034,58547,84127,94697,92129,86448,82777,66099,46405,36427,43918,65004,91833,120881,154102,199871,248720,113577
Higher Education,NSW,Indonesia,43630,44875,41635,38080,35754,33628,31100,32050,32068,31328,30038,28417,28153,27447,28442,30636,32583,35197,16825
Higher Education,NSW,Iran,841,1310,1884,2521,3104,3520,4191,5654,7713,9594,9690,9839,9666,8308,7843,8331,8420,8058,3405
