Country_of_Birth,Speaks English only,Very well,Well,Not well,Not at all,Not stated,Total
India,10716,70374,22736,2879,556,659,107915
China (excludes SARs and Taiwan) (b),1177,22527,30770,18509,7561,301,80845
England,34387,1632,103,19,6,59,36212
Sri Lanka,2936,15616,7551,1096,123,163,27488
Philippines,3966,14657,6080,407,32,184,25323
Malaysia,5144,10457,4420,704,157,55,20920
Vietnam,443,3607,6556,6940,1953,183,19683
Australia (c),7216,5661,2000,1159,474,290,16792
Afghanistan,228,4176,4957,3594,1225,183,14370
Iraq,192,3556,4032,3459,1507,103,12849
Pakistan,612,7382,3562,930,258,89,12828
Iran,296,4233,3629,1402,216,57,9835
Myanmar,89,1201,2733,3836,1497,56,9416
Indonesia,996,4771,2785,375,51,40,9026
Thailand,1028,2300,3666,1398,185,67,8643
Singapore,2837,4430,693,66,12,35,8069
"Korea, Republic of (South)",557,2514,3058,1455,94,50,7739
Not stated,1347,2027,1278,775,233,1351,7014
United States of America,5790,901,105,28,6,19,6860
Ireland,4897,434,46,25,3,4,5410
Sudan,301,2638,1581,706,72,101,5391
Hong Kong (SAR of China),362,2124,2237,508,62,24,5319
Bangladesh,256,3044,1583,228,28,38,5184
Nepal,139,2533,1716,141,43,30,4597
Cambodia,149,642,1470,1700,484,32,4490
Ethiopia,290,1611,1757,583,109,91,4452
Egypt,316,2421,982,361,81,29,4191
Mauritius,525,2779,786,45,13,26,4175
Lebanon,161,1320,1615,847,152,48,4144
Fiji,583,2553,598,87,16,60,3888
Japan,445,1692,1416,265,17,13,3856
Germany,999,2469,213,39,4,24,3750
Turkey,181,855,1060,972,178,43,3278
Zimbabwe,1212,1721,141,4,3,31,3121
Canada,2564,476,32,7,5,7,3086
South Sudan,112,1289,1001,370,46,53,2868
Taiwan,125,1024,1111,375,54,15,2700
Russian Federation,264,1346,679,260,92,9,2655
New Zealand,1817,653,43,14,4,17,2551
Kenya,473,1577,217,64,16,24,2360
Syria,45,485,740,701,391,13,2359
France,431,1565,205,21,3,12,2230
Italy,262,1222,562,143,27,10,2230
Colombia,189,1333,531,70,12,5,2145
Bosnia and Herzegovina,99,840,504,455,132,27,2048
Somalia,64,686,686,336,33,31,1842
United Arab Emirates,738,867,147,40,17,12,1823
The Former Yugoslav Republic of Macedonia,66,657,655,360,59,16,1820
Israel,203,1275,243,40,4,9,1777
Brazil,200,1101,245,32,5,11,1596
Poland,253,784,325,138,36,6,1546
Romania,177,734,335,99,33,11,1380
Ukraine,100,582,374,181,59,3,1298
Inadequately described,189,548,277,173,62,14,1274
Serbia,50,643,299,149,33,14,1191
Croatia,51,460,334,247,85,5,1181
Greece,44,509,352,215,33,6,1170
Eritrea,39,362,429,253,49,23,1148
Albania,67,336,365,214,79,15,1075
Saudi Arabia,104,661,140,45,6,5,975
Venezuela,40,510,137,19,8,4,712
"Congo, Democratic Republic of",39,240,253,119,13,10,676
Chile,52,338,190,78,13,7,671
Hungary,67,299,129,45,7,3,549
Timor-Leste,31,132,147,123,64,9,502
Malta,79,241,79,14,4,3,417
Tonga,37,119,117,26,4,5,322
Kosovo,16,122,86,40,4,5,269
El Salvador,10,86,65,31,9,6,212
Cuba,7,39,18,7,3,4,87
Total,120015,250775,144025,62431,19333,5173,601756
