Name,State,Type,Address
Charles Sturt University,New South Wales,Public,1
Macquarie University,New South Wales,Public,1
Southern Cross University,New South Wales,Public,1
The University of New England,New South Wales,Public,1
The University of Newcastle,New South Wales,Public,1
The University of Sydney,New South Wales,Public,1
University of New South Wales,New South Wales,Public,1
University of Technology Sydney,New South Wales,Public,1
University of Wollongong,New South Wales,Public,1
Western Sydney University,New South Wales,Public,1
Deakin University,Victoria,Public,1
Federation University Australia,Victoria,Public,1
La Trobe University,Victoria,Public,1
Monash University,Victoria,Public,1
RMIT University,Victoria,Public,1
Swinburne University of Technology,Victoria,Public,1
The University of Melbourne,Victoria,Public,1
Victoria University,Victoria,Public,1
CQUniversity,Queensland,Public,1
Griffith University,Queensland,Public,1
James Cook University,Queensland,Public,1
Queensland University of Technology,Queensland,Public,1
The University of Queensland,Queensland,Public,1
University of Southern Queensland,Queensland,Public,1
University of the Sunshine Coast,Queensland,Public,1
Curtin University,Western Australia,Public,1
Edith Cowan University,Western Australia,Public,1
Murdoch University,Western Australia,Public,1
The University of Western Australia,Western Australia,Public,1
Flinders University,South Australia,Public,1
The University of Adelaide,South Australia,Public,1
University of South Australia,South Australia,Public,1
University of Tasmania,Tasmania,Public,1
Batchelor Institute of Indigenous Tertiary Education,Northern Territory,Public,1
Charles Darwin University,Northern Territory,Public,1
The Australian National University,Australian Capital Territory,Public,1
University of Canberra,Australian Capital Territory,Public,1
AIPE,New South Wales,Private,1
Academy of Information Technology,New South Wales,Private,1
Alphacrucis College,New South Wales,Private,1
Australasian College of Health and Wellness,New South Wales,Private,1
Australian Academy of Music and Performing Arts,New South Wales,Private,1
Australian College of Applied Psychology,New South Wales,Private,1
"Australian Film, Television and Radio School",New South Wales,Private,1
Australian Institute of Management Education & Training,New South Wales,Private,1
Australian Institute of Music,New South Wales,Private,1
Avondale College of Higher Education,New South Wales,Private,1
Blue Mountains Intl Hotel Management School,New South Wales,Private,1
Campion College,New South Wales,Private,1
Excelsia College,New South Wales,Private,1
"International College of Management, Sydney",New South Wales,Private,1
JMC Academy,New South Wales,Private,1
Kaplan Business School,New South Wales,Private,1
Kaplan Higher Education,New South Wales,Private,1
Kent Institute Australia,New South Wales,Private,1
Macleay College,New South Wales,Private,1
Moore Theological College,New South Wales,Private,1
Morling College,New South Wales,Private,1
Nan Tien Institute,New South Wales,Private,1
National Art School,New South Wales,Private,1
Raffles College of Design and Commerce,New South Wales,Private,1
S P Jain School of Global Management,New South Wales,Private,1
SAE Institute,New South Wales,Private,1
Study Group Australia Pty Ltd,New South Wales,Private,1
Sydney College of Divinity,New South Wales,Private,1
Sydney Institute of Business and Technology,New South Wales,Private,1
Sydney Institute of Traditional Chinese Medicine,New South Wales,Private,1
TAFE NSW,New South Wales,Private,1
Tabor College NSW,New South Wales,Private,1
The Australian College of Physical Education,New South Wales,Private,1
The Australian Institute of Theological Education,New South Wales,Private,1
The College of Law,New South Wales,Private,1
The National Institute of Dramatic Art,New South Wales,Private,1
Think: Colleges Pty Ltd,New South Wales,Private,1
Top Education Institute,New South Wales,Private,1
UOW College,New South Wales,Private,1
UTS:INSEARCH,New South Wales,Private,1
Universal Business School Sydney (UBSS),New South Wales,Private,1
Wentworth Institute,New South Wales,Private,1
Whitehouse Institute of Design; Australia,New South Wales,Private,1
Academy of Design Australia,Victoria,Private,1
Australian Guild of Music Education Inc.,Victoria,Private,1
Box Hill Institute,Victoria,Private,1
Cairnmillar Institute School,Victoria,Private,1
Chisholm Institute,Victoria,Private,1
Collarts,Victoria,Private,1
Deakin College,Victoria,Private,1
Eastern College Australia,Victoria,Private,1
Harvest Bible College,Victoria,Private,1
Holmes Institute,Victoria,Private,1
Holmesglen Institute of TAFE,Victoria,Private,1
John Paul ll Institute for Marriage and Family,Victoria,Private,1
La Trobe Melbourne,Victoria,Private,1
Leo Cussen Institute,Victoria,Private,1
MIECAT,Victoria,Private,1
Marcus Oldham College,Victoria,Private,1
Melbourne Institute of Technology,Victoria,Private,1
Monash College,Victoria,Private,1
Northern Melbourne Institute of TAFE,Victoria,Private,1
Photography Studies College (Melbourne),Victoria,Private,1
Stotts Colleges,Victoria,Private,1
The Cairnmillar Institute,Victoria,Private,1
University of Divinity,Victoria,Private,1
VIT (Victorian Institute of Technology),Victoria,Private,1
William Angliss Institute of TAFE,Victoria,Private,1
Australian Institute of Professional Counsellors,Queensland,Private,1
Bond University,Queensland,Private,1
Christian Heritage College,Queensland,Private,1
Endeavour College of Natural Health,Queensland,Private,1
Gestalt Therapy Brisbane,Queensland,Private,1
Jazz Music Institute,Queensland,Private,1
Queensland Institute of Business and Technology,Queensland,Private,1
TAFE Queensland,Queensland,Private,1
Australian School of Management,Western Australia,Private,1
Central Institute of Technology,Western Australia,Private,1
Curtin College,Western Australia,Private,1
Edith Cowan College,Western Australia,Private,1
North Metropolitan TAFE,Western Australia,Private,1
Paramount College of Natural Medicine,Western Australia,Private,1
Perth Bible College,Western Australia,Private,1
Polytechnic West,Western Australia,Private,1
South Metropolitan TAFE,Western Australia,Private,1
The University of Notre Dame Australia,Western Australia,Private,1
West Coast Institute of Training,Western Australia,Private,1
Adelaide Central School of Art,South Australia,Private,1
Adelaide College of Divinity,South Australia,Private,1
Australian Institute of Business,South Australia,Private,1
Carnegie Mellon University Australia,South Australia,Private,1
Eynesbury,South Australia,Private,1
Ikon Institute of Australia,South Australia,Private,1
International College of Hotel Management,South Australia,Private,1
Le Cordon Bleu Australia,South Australia,Private,1
South Aust Institute of Business & Technology,South Australia,Private,1
TAFE SA,South Australia,Private,1
Tabor Adelaide,South Australia,Private,1
Torrens University Australia,South Australia,Private,1
University College London,South Australia,Private,1
Tabor College Tasmania,Tasmania,Private,1
Australian College of Nursing Ltd,Australian Capital Territory,Private,1
Canberra Institute of Technology,Australian Capital Territory,Private,1
